Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.10071300954903E-13,-0.0804314674208866,-3.72594215378661E-13,0,0,0,2.59149526077751,0.0556620512133462,1.41894541422012E-08,-9.1623414139393E-16,0.0609675024722487,1.98357895211907E-15,0.00751873000876317,0,0,0,0,0,0,package://description_v2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description_v2/meshes/base_link.STL,,chassis_motor-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
flhr,-0.0700708098978081,2.63677968348475E-16,-0.000779776432071576,0,0,0,0.194475232481071,4.95706831903783E-05,3.56082054761659E-20,1.47917712706166E-05,0.000249341771263753,-4.37225042511692E-22,0.000252242436696808,0,0,0,0,0,0,package://description_v2/meshes/flhr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description_v2/meshes/flhr.STL,,hip_roll-1,Origin_j_flhr,Axis_j_flhr,j_flhr,continuous,0.0574999999996618,-0.200299999999298,-0.114999999999853,1.5707963267949,0,1.5707963267949,base_link,1,0,0,10,10,-0.5236,0.34907,,,,,,,,
flhp,0.0625017771112232,-0.00995729962485614,0.0500334632748604,0,0,0,0.54805543393771,0.000366842886944484,0.000385861397834549,1.60537120413725E-05,0.00215260706012929,-4.291557447141E-06,0.00242131957628299,0,0,0,0,0,0,package://description_v2/meshes/flhp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description_v2/meshes/flhp.STL,,left_thigh-1,Origin_j_flhp,Axis_j_flhp,j_flhp,continuous,-0.11,0,0.01935,0,0,0.23805,flhr,0,0,1,10,10,-1.5708,0,,,,,,,,
flkp,-0.142429073555873,-0.095200420459897,0.0169765532365606,0,0,0,0.121696080036638,9.46916554390342E-05,-0.000113408885572565,6.44304181281108E-11,0.000189243119965143,-1.12326363178312E-10,0.000269729577438877,0,0,0,0,0,0,package://description_v2/meshes/flkp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description_v2/meshes/flkp.STL,,Demo-Leg-3-KP-1,Origin_j_flkp,Axis_j_flkp,j_flkp,continuous,0.265328222917277,-0.0707172830612114,0.0630234621858951,0,0,-0.584123837375273,flhp,0,0,1,10,10,0,1.6057,,,,,,,,
rlhr,0.0798069766837164,8.86630914381792E-08,-0.000779776427032086,0,0,0,0.194475232481071,4.95706831903784E-05,-9.74751830526731E-10,8.66258797825681E-06,0.000250295953234289,-3.25265625917476E-10,0.000253196618594397,0,0,0,0,0,0,package://description_v2/meshes/rlhr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description_v2/meshes/rlhr.STL,,hip_roll_rear-1,Origin_j_rlhr,Axis_j_rlhr,j_rlhr,continuous,0.0574999999996628,0.200300000000701,-0.114999999999858,1.57068414749628,0,1.5707963267949,base_link,1,0,0,10,10,-0.5236,0.34907,,,,,,,,
rlhp,0.0625017771112245,-0.00995729962485425,0.0500334632748606,0,0,0,0.548055433937709,0.000366842886944487,0.000385861397834558,1.60537120413725E-05,0.00215260706012928,-4.29155744714101E-06,0.00242131957628299,0,0,0,0,0,0,package://description_v2/meshes/rlhp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description_v2/meshes/rlhp.STL,,left_thigh-2,Origin_j_rlhp,Axis_j_rlhp,j_rlhp,continuous,0.043,0,0.01935,0.00011195,0,0.063519,rlhr,0,0,1,10,10,-1.3963,0,,,,,,,,
rlkp,-0.142429113121171,-0.0952004635662916,0.0169765557128041,0,0,0,0.121696119554221,9.46916642378556E-05,-0.000113408954060324,6.22689213955761E-11,0.000189243100533313,-9.73939890663566E-11,0.000269729635188775,0,0,0,0,0,0,package://description_v2/meshes/rlkp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description_v2/meshes/rlkp.STL,,Demo-Leg-3-KP-4,Origin_j_rlkp,Axis_j_rlkp,j_rlkp,continuous,0.265328222917278,-0.0707172830612103,0.0630234621858946,0,0,-0.584123837375259,rlhp,0,0,1,10,10,0,1.6057,,,,,,,,
frhr,-0.0700708098978081,2.4980018054066E-16,-0.000779776432071645,0,0,0,0.194475232481071,4.95706831903784E-05,8.70781725227972E-21,1.47917712706164E-05,0.000249341771263753,-1.6648663486486E-20,0.000252242436696808,0,0,0,0,0,0,package://description_v2/meshes/frhr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description_v2/meshes/frhr.STL,,hip_roll-3,Origin_j_frhr,Axis_j_frhr,j_frhr,continuous,-0.0575000000003381,-0.200299999999298,-0.114999999999853,-1.5707963267949,0,1.5707963267949,base_link,1,0,0,10,10,-0.34907,0.5236,,,,,,,,
frhp,0.0591532407326759,-0.0178475201337677,-0.0629327952000434,0,0,0,0.54805543393771,0.000595462574673477,0.000709669958273173,3.83623609434648E-05,0.00192565530652331,-2.97095678996208E-05,0.00241965164215998,0,0,0,0,0,0,package://description_v2/meshes/frhp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description_v2/meshes/frhp.STL,,right_thigh-1,Origin_j_frhp,Axis_j_frhp,j_frhp,continuous,-0.11,0,0.0079623,3.0667,0,-0.44362,frhr,0,0.074816,0.9972,10,10,-1.5708,0,,,,,,,,
frkp,-0.142429073555874,-0.0952004204598976,-0.0169765223916483,0,0,0,0.121696080036638,9.46916554390361E-05,-0.000113408885572566,6.4430418163184E-11,0.000189243119965144,-1.12326363238963E-10,0.00026972957743888,0,0,0,0,0,0,package://description_v2/meshes/frkp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description_v2/meshes/frkp.STL,,Demo-Leg-3-KP-5,Origin_j_frkp,Axis_j_frkp,j_frkp,continuous,0.245306433029375,-0.117475688203158,-0.0834340122882161,0.0527739825632841,0.0531545790485347,-0.788291160012052,frhp,0,0,1,10,10,0,1.6057,,,,,,,,
